109*{'text': 'The cycle of the decimal equivalent of 1/109 ends ...853211, the first six Fibonacci numbers in reversed order.', 'self': True, 'pos': 'DET'}
102*{'text': 'An abundant number and semiperfect number.', 'self': False, 'pos': 'DET'}
102*{'text': "The sum of Euler's totient function φ(x) over the first eighteen integers is 102.", 'self': True, 'pos': 'DET'}
102*{'text': 'The third base 10 polydivisible number, since 1 is divisible by 1, 10 is divisible by 2 and 102 is divisible by 3.', 'self': True, 'pos': 'DET'}
103*{'text': 'The 27th prime number.', 'self': False, 'pos': 'DET'}
103*{'text': 'A strictly non-palindromic number.', 'self': False, 'pos': 'DET'}
101*{'text': 'The 26th prime number and a palindromic number (and so a palindromic prime).', 'self': False, 'pos': 'DET'}
101*{'text': 'The sum of five consecutive primes (13 + 17 + 19 + 23 + 29).', 'self': False, 'pos': 'DET'}
101*{'text': 'A centered decagonal number.', 'self': False, 'pos': 'DET'}
101*{'text': 'The decimal representation of 2^101-1 is 2 535301 200456 458802 993406 410751.', 'self': True, 'pos': 'DET'}
106*{'text': 'The thirty-first distinct biprime and the fifteenth of the form (2.q).', 'self': False, 'pos': 'DET'}
107*{'text': 'The 28th prime number.', 'self': False, 'pos': 'DET'}
104*{'text': 'A primitive semiperfect number and a composite number, with its divisors being 1, 2, 4, 8, 13, 26, 52 and 104.', 'self': True, 'pos': 'DET'}
105*{'text': 'A triangular number, a 12-gonal number and a Zeisel number.', 'self': False, 'pos': 'DET'}
105*{'text': 'Also a number n for which n − 2k is prime, for 0 < k < log2(n).', 'self': False, 'pos': 'ADV'}
105*{'text': 'The smallest integer such that the factorization of xn − 1 over Q includes coefficients other than .', 'self': False, 'pos': 'DET'}
179*{'text': 'An odd number.', 'self': False, 'pos': 'DET'}
179*{'text': 'A deficient number, as 1 is less than 179.', 'self': True, 'pos': 'DET'}
179*{'text': 'A Gaussian number.', 'self': False, 'pos': 'DET'}
179*{'text': 'An odious number.', 'self': False, 'pos': 'DET'}
179*{'text': 'A square-free number.', 'self': False, 'pos': 'DET'}
179*{'text': 'A strictly non-palindromic number.', 'self': False, 'pos': 'DET'}
178*{'text': 'An even number.', 'self': False, 'pos': 'DET'}
178*{'text': 'A composite number.', 'self': False, 'pos': 'DET'}
178*{'text': 'A deficient number, as 92 is less than 178.', 'self': True, 'pos': 'DET'}
178*{'text': 'A semiprime, a product of two primes, namely 2 and 89.', 'self': False, 'pos': 'DET'}
178*{'text': 'A square-free number.', 'self': False, 'pos': 'DET'}
178*{'text': 'A 31-gonal number.', 'self': False, 'pos': 'DET'}
178*{'text': 'A digitally balanced number, as its binary number (10110010) has an equal number of zeros and ones.', 'self': False, 'pos': 'DET'}
177*{'text': 'An odd number.', 'self': False, 'pos': 'DET'}
177*{'text': 'A composite number.', 'self': False, 'pos': 'DET'}
177*{'text': 'A deficient number, as 63 is less than 177.', 'self': True, 'pos': 'DET'}
177*{'text': 'A Leyland number since it can be expressed as 27 + 72.', 'self': False, 'pos': 'DET'}
177*{'text': 'A square-free number.', 'self': False, 'pos': 'DET'}
177*{'text': 'A Ulam number.', 'self': False, 'pos': 'DET'}
177*{'text': 'A 60-gonal number.', 'self': False, 'pos': 'DET'}
177*{'text': 'The magic constant of a magic square using only Chen primes.', 'self': False, 'pos': 'DET'}
177*{'text': 'The smallest magic constant for a 3 x 3 prime magic square.', 'self': False, 'pos': 'DET'}
176*{'text': 'An even number.', 'self': False, 'pos': 'DET'}
